database,event_group,role_scope,drug_class,background,a,b,c,d,n,ror,ror025,ror975,prr,chi_square,ic_approx,ic025_approx,positive_composite_prelim
FAERS,periop_hypersensitivity_broad,suspect,chlorhexidine,broad_periop_background,4743,7782,33764,687451,733740,12.40937059650381,11.94998006244477,12.886421382854513,8.088840078402608,27267.37036818848,2.8501925558827956,2.8210292858105395,1
FAERS,periop_hypersensitivity_broad,suspect,dye_anchor,whole_database,181,1216,359008,19600831,19961236,8.126721142099605,6.951590056273183,9.500502185374168,7.203359276158281,984.1571890820234,2.8236097412098875,2.6278841118858263,1
FAERS,periop_hypersensitivity_broad,suspect,dye_anchor,anesthesia_background,181,1216,20175,373416,394988,2.7550176090784584,2.3552108841732564,3.222693168300607,2.5276316482744488,174.6233102807885,1.324007535205846,1.1291798482424362,1
FAERS,periop_hypersensitivity_broad,suspect,dye_anchor,broad_periop_background,181,1216,38326,694017,733740,2.695390003385087,2.3049347419961177,3.151988270200015,2.4757295949293243,167.24554877583893,1.2979801391207542,1.1027017881841346,1
FAERS,periop_hypersensitivity_broad,any,NMBA,whole_database,4722,21106,354467,19580941,19961236,12.358842512726403,11.972888564585373,12.757237940572356,10.282163933467688,39762.96054133027,3.3434495853375026,3.3065485345473036,1
FAERS,periop_hypersensitivity_broad,any,NMBA,anesthesia_background,4722,21106,15634,353526,394988,5.05907713086382,4.883187931584591,5.241301742758031,4.316976998761491,9745.135099160963,1.8264277611265147,1.7946316421395463,1
FAERS,periop_hypersensitivity_broad,any,NMBA,broad_periop_background,4722,21106,33785,674127,733740,4.464140425333014,4.317538527047437,4.615720186918778,3.830809501977644,9146.454360452444,1.800230991323766,1.7657810287744882,1
FAERS,periop_hypersensitivity_broad,any,antibiotic_anchor,whole_database,21944,358688,337245,19243359,19961236,3.490875093116121,3.442175874398144,3.540263298681453,3.3472724453005402,34535.06103712356,1.679743210765258,1.661812863630013,1
FAERS,periop_hypersensitivity_broad,any,antibiotic_anchor,anesthesia_background,3793,38087,16563,336545,394988,2.0235326566330665,1.950346269334872,2.0994653497385816,1.930833053800946,1460.1830461322584,0.8132886440360902,0.7739912645904539,0
FAERS,periop_hypersensitivity_broad,any,antibiotic_anchor,broad_periop_background,21944,358688,16563,336545,733740,1.2430914745062671,1.217605238783781,1.2691111739414676,1.2290768900347422,425.31473861620884,0.13557463928322452,0.12346638926036141,0
FAERS,periop_hypersensitivity_broad,any,chlorhexidine,whole_database,5328,17146,353861,19584901,19961236,17.198480442020802,16.674819242330045,17.738586860581787,13.358242665252678,61111.648705062085,3.7180758960793376,3.6845657419642497,1
FAERS,periop_hypersensitivity_broad,any,chlorhexidine,anesthesia_background,5328,17146,15028,357486,394988,7.391953884845182,7.13909645151778,7.653767196836382,5.8765881155804705,16782.58635658659,2.201204592706695,2.17341545702331,1
FAERS,periop_hypersensitivity_broad,any,chlorhexidine,broad_periop_background,5328,17146,33179,678087,733740,6.35072814988289,6.146678264739709,6.561551832813047,5.082209880657295,15886.846659342536,2.1750092776153602,2.14421897396238,1
FAERS,periop_hypersensitivity_broad,any,dye_anchor,whole_database,203,1867,358986,19600180,19961236,5.936551883532236,5.135822507371297,6.862123489526243,5.4524359258718285,751.1753203569162,2.430546894408775,2.2423800062048898,1
FAERS,periop_hypersensitivity_broad,any,dye_anchor,anesthesia_background,203,1867,20153,372765,394988,2.0111624115154845,1.7387563199180276,2.326245603917326,1.912000107391019,92.17734566733635,0.9250066992289544,0.7377740005635074,0
FAERS,periop_hypersensitivity_broad,any,dye_anchor,broad_periop_background,203,1867,38304,693366,733740,1.9682041035905242,1.7021732059148427,2.2758126963398935,1.8732546190355115,86.75555045824181,0.8989213350014321,0.7112197362161281,0
FAERS,kounis_takotsubo_probe,suspect,NMBA,whole_database,164,15533,6673,19938866,19961236,31.547709686098855,26.998588897702497,36.86333349529496,31.22855160566819,4685.230971870751,4.807001335387046,4.590372301895246,1
FAERS,kounis_takotsubo_probe,suspect,NMBA,anesthesia_background,164,15533,1216,378075,394988,3.28271282363186,2.7866431085177283,3.867091357877235,3.2588633681259918,227.05553538754785,1.571645641574886,1.365919076155089,1
FAERS,kounis_takotsubo_probe,suspect,NMBA,broad_periop_background,164,15533,1835,716208,733740,4.120895532075421,3.509727154226812,4.838490070610696,4.088288864096803,352.1649951058713,1.9268192799818233,1.7167996879241896,1
FAERS,kounis_takotsubo_probe,suspect,antibiotic_anchor,whole_database,657,192075,6180,19762324,19961236,10.938154862140472,10.091594108767,11.855731661287093,10.904276898209075,5344.237105831396,3.3052743743236226,3.200630601216071,1
FAERS,kounis_takotsubo_probe,suspect,antibiotic_anchor,anesthesia_background,104,13050,1276,380558,394988,2.3768020274084485,1.9447295622640903,2.9048706756511793,2.3659165620860763,76.09810282865699,1.1695306024581973,0.9047041619126546,1
FAERS,kounis_takotsubo_probe,suspect,antibiotic_anchor,broad_periop_background,657,192075,1342,539666,733740,1.375520506787878,1.252774690377964,1.5102928556316413,1.3742404029495965,45.07425201024657,0.32308400053072844,0.23291521354405265,0
FAERS,kounis_takotsubo_probe,suspect,chlorhexidine,whole_database,1,12524,6836,19941875,19961236,0.2329275596588897,0.03280253691647408,1.6539954878123344,0.23298880296749977,2.525536266300946,-1.6750589690274915,-3.983460417001227,0
FAERS,kounis_takotsubo_probe,suspect,chlorhexidine,anesthesia_background,1,12524,1379,381084,394988,0.022065480542767604,0.003105650205631924,0.15677407284964542,0.022143559147115487,43.30199838106503,-4.882954613470477,-7.1903584633795194,0
FAERS,kounis_takotsubo_probe,suspect,chlorhexidine,broad_periop_background,1,12524,1998,719217,733740,0.02874229227630697,0.004046286781990407,0.20416727973252538,0.02881983780187373,32.80013028233799,-4.5287000205293,-6.836490595062376,0
FAERS,kounis_takotsubo_probe,suspect,dye_anchor,whole_database,3,1394,6834,19953005,19961236,6.283358190060752,2.0235084995727295,19.51095839377001,6.2720123958086536,13.29307221520265,1.8387231633960883,0.3295452529924414,1
FAERS,kounis_takotsubo_probe,suspect,dye_anchor,anesthesia_background,3,1394,1377,392214,394988,0.6129818737633743,0.19721151363451203,1.9052983805946597,0.6138129792599455,0.7298865708616867,-0.6204675061708015,-2.1281190729521158,0
FAERS,kounis_takotsubo_probe,suspect,dye_anchor,broad_periop_background,3,1394,1996,730347,733740,0.7874576268749838,0.25344188369833764,2.4466733953952557,0.7879140528731049,0.1714741832493959,-0.2989881736645295,-1.807231541343228,0
FAERS,kounis_takotsubo_probe,any,NMBA,whole_database,300,25528,6537,19928871,19961236,35.82685405214787,31.89089032703301,40.24859319107388,35.422329651666054,9598.123538727883,5.0068029918982715,4.84827977238074,1
FAERS,kounis_takotsubo_probe,any,NMBA,anesthesia_background,300,25528,1080,368080,394988,4.005188202931857,3.5220655089290376,4.554580969671486,3.9702820367215597,523.5521259141298,1.7275977834600027,1.5843326701419365,1
FAERS,kounis_takotsubo_probe,any,NMBA,broad_periop_background,300,25528,1699,706213,733740,4.884800062122926,4.3178148534598115,5.526237797759298,4.83967693920838,778.8604367839737,2.084204373315587,1.9348400468428066,1
FAERS,kounis_takotsubo_probe,any,antibiotic_anchor,whole_database,797,379835,6040,19574564,19961236,6.800150112235036,6.315516236728586,7.321973345584079,6.788005259360209,3476.1148859490977,2.60733096606413,2.513331117091721,1
FAERS,kounis_takotsubo_probe,any,antibiotic_anchor,anesthesia_background,178,41702,1202,351906,394988,1.2496411628629438,1.0672861393651958,1.4631531117327787,1.2485801283120936,7.699841147416738,0.2818816410880403,0.08482936763558763,0
FAERS,kounis_takotsubo_probe,any,antibiotic_anchor,broad_periop_background,797,379835,1202,351906,733740,0.614307114305062,0.5616309973181268,0.6719237942489408,0.6151147112225542,115.72876277885094,-0.37954541393216845,-0.45710869456997744,0
FAERS,kounis_takotsubo_probe,any,chlorhexidine,whole_database,4,22470,6833,19931929,19961236,0.5192719095157919,0.19481561727296087,1.3840949703450778,0.5193574711586654,1.7788225157820654,-0.8652865372900316,-2.1976966491694916,0
FAERS,kounis_takotsubo_probe,any,chlorhexidine,anesthesia_background,4,22470,1376,371138,394988,0.04801466554889724,0.017993143013748734,0.12812703739479384,0.04818410318072978,75.25258992619752,-4.1342053275580595,-5.464886351622981,0
FAERS,kounis_takotsubo_probe,any,chlorhexidine,broad_periop_background,4,22470,1995,709271,733740,0.0632887068583787,0.02372750789559412,0.16881083480956513,0.06345542596368112,55.33030235161343,-3.777931113188089,-5.109282605895818,0
FAERS,kounis_takotsubo_probe,any,dye_anchor,whole_database,6,2064,6831,19952335,19961236,8.49084670431991,3.8087800477728133,18.928495962484778,8.469134105176954,39.50210486341237,2.426621069159825,1.3197835459984737,1
FAERS,kounis_takotsubo_probe,any,dye_anchor,anesthesia_background,6,2064,1374,391544,394988,0.8283910497274973,0.37107630609996567,1.8493008580390429,0.828888466974664,0.21175874240565035,-0.2504240194356779,-1.3551794603572376,0
FAERS,kounis_takotsubo_probe,any,dye_anchor,broad_periop_background,6,2064,1993,729677,733740,1.0643020922064435,0.4770115073420958,2.3746574789917023,1.0641157093304827,0.02317237824150255,0.08231750339721931,-1.023245427228812,0
