database,event_group,role_scope,drug_class,background,a,b,c,d,n,ror,ror025,ror975,prr,chi_square,ic_approx,ic025_approx,positive_composite_prelim
FAERS,kounis_takotsubo_probe,suspect,antibiotic_anchor,broad_periop_background,657,172782,1342,474603,649384,1.3447601658083794,1.2247382535803988,1.476543986650506,1.3434541883238684,38.84711889378392,0.29907735778825517,0.20892631319355212,0
FAERS,kounis_takotsubo_probe,suspect,chlorhexidine,whole_database,1,12012,6836,16935409,16954258,0.20624257008838637,0.02904446733651717,1.4645129216462893,0.20630864495976833,3.0542003108969067,-1.833060291386168,-4.141455861412164,0
FAERS,kounis_takotsubo_probe,suspect,chlorhexidine,anesthesia_background,1,12012,1379,336880,350272,0.02033740975002759,0.002862418915801418,0.14449675170090012,0.020418959953161692,47.14620221538585,-4.994844032630574,-7.302242546646905,0
FAERS,kounis_takotsubo_probe,suspect,chlorhexidine,broad_periop_background,1,12012,1998,635373,649384,0.026473901473901475,0.0037269338206607767,0.1880547101116971,0.026554940856114585,35.77661051391554,-4.643072716996373,-6.950857703329188,0
FAERS,kounis_takotsubo_probe,suspect,dye_anchor,whole_database,3,1195,6834,16946226,16954258,6.2251721946506695,2.004364195564701,19.3341953217907,6.212087456266737,13.118725543255533,1.8319341138623,0.323071198348879,1
FAERS,kounis_takotsubo_probe,suspect,dye_anchor,anesthesia_background,3,1195,1377,347697,350272,0.6338994175075888,0.2038998385535504,1.9707150057940233,0.6348161969295231,0.6313432399188127,-0.5766602928416104,-2.0839973794220445,0
FAERS,kounis_takotsubo_probe,suspect,dye_anchor,broad_periop_background,3,1195,1996,646190,649384,0.8127426400918992,0.26152680840107534,2.5257471808034895,0.8132115650332384,0.1289152720166502,-0.2588395767470877,-1.7667682001371907,0
FAERS,kounis_takotsubo_probe,any,NMBA,whole_database,300,20294,6537,16927127,16954258,38.27880455604586,34.067785627981394,43.01033516650017,37.73575117317639,10262.051250914392,5.0929362028291285,4.934661118458217,1
FAERS,kounis_takotsubo_probe,any,NMBA,anesthesia_background,300,20294,1080,328598,350272,4.497744270337155,3.9545914070873422,5.1154977692753345,4.446791406342732,629.7433351811031,1.880085017373455,1.737085726809655,1
FAERS,kounis_takotsubo_probe,any,NMBA,broad_periop_background,300,20294,1699,627091,649384,5.456206362121313,4.822125840062445,6.173664656098561,5.391291245648729,914.8133235655395,2.2336002225562965,2.084494764037404,1
FAERS,kounis_takotsubo_probe,any,antibiotic_anchor,whole_database,797,335327,6040,16612094,16954258,6.536981247937542,6.071046372605369,7.03867524858795,6.523852241812998,3294.4645572446425,2.55139127230111,2.4574058423039733,1
FAERS,kounis_takotsubo_probe,any,antibiotic_anchor,anesthesia_background,178,36834,1202,312058,350272,1.2545904334751126,1.0714671043861583,1.4690111803936445,1.2533660441646572,7.972209285420411,0.2867999945473684,0.08980488851365526,0
FAERS,kounis_takotsubo_probe,any,antibiotic_anchor,broad_periop_background,797,335327,1202,312058,649384,0.6170504181214287,0.5641304571975515,0.6749346957710806,0.6179584485410274,113.54051828141073,-0.3763407609363562,-0.4538952352061012,0
FAERS,kounis_takotsubo_probe,any,chlorhexidine,whole_database,4,21185,6833,16926236,16954258,0.4677141339625437,0.17547171827957544,1.2466767479862029,0.46781461739565283,2.4212135598034448,-1.0071490110725148,-2.339551052933092,0
FAERS,kounis_takotsubo_probe,any,chlorhexidine,anesthesia_background,4,21185,1376,327707,350272,0.044967506627659984,0.016851141808690254,0.11999641776593709,0.04514779498357529,80.86293791435389,-4.222054445252934,-5.552728333147097,0
FAERS,kounis_takotsubo_probe,any,chlorhexidine,broad_periop_background,4,21185,1995,626200,649384,0.05926546363548711,0.02221903210281025,0.15808047639865466,0.05944305286317403,59.59339588252928,-3.8684703300288246,-5.199814251253444,0
FAERS,kounis_takotsubo_probe,any,dye_anchor,whole_database,6,1805,6831,16945616,16954258,8.2460719443015,3.6983641546135457,18.38588621019706,8.222065079770408,38.04407337915389,2.401421795750183,1.2948338190552173,1
FAERS,kounis_takotsubo_probe,any,dye_anchor,anesthesia_background,6,1805,1374,347087,350272,0.8397029116113658,0.37608060733986926,1.8748666270138084,0.8402339897617422,0.1821972599481741,-0.23218265584722655,-1.3366892175909715,0
FAERS,kounis_takotsubo_probe,any,dye_anchor,broad_periop_background,6,1805,1993,645580,649384,1.0767547913542272,0.48251221488232665,2.402842549772623,1.0765004960764109,0.032621128041161525,0.0976016811107514,-1.0077120234968446,0
